Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
7/18/25 1:13 AM,6-35699,Sale,฿486.00,0,486,0,486,138.8,347.2,GRAB,"1 x French Fries, 1 x Chicken Nuggets (12), 1 x Onion Rings, 1 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น)",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 1:00 AM,6-35698,Sale,฿219.00,0,219,0,219,81.7,137.3,GRAB,1 x Single Meal Set (Meal Deal),GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:53 AM,6-35697,Sale,฿450.00,0,450,0,450,158.28,291.72,GRAB,"1 x Loaded Fries (Original), 1 x Fanta Orange, 1 x Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:49 AM,6-35696,Sale,฿40.00,0,40,0,40,4.08,35.92,Cash,1 x Bottle Water,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:24 AM,6-35695,Sale,฿119.00,0,119,0,119,20.65,98.35,Cash,1 x Cheesy Bacon Fries,EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:13 AM,6-35694,Sale,฿887.00,0,887,0,887,263.17,623.83,GRAB,"1 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น), 1 x Coke Zero, 2 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น)",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:11 AM,6-35693,Sale,฿220.00,0,220,0,220,93.78,126.22,Cash,1 x Ultimate Double (คู่),EAT IN SHOP,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/18/25 12:09 AM,6-35692,Sale,"฿1,176.00",0,1176,0,1176,333.4,842.6,GRAB,"3 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น), 1 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น)",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 11:57 PM,6-35691,Sale,฿487.00,0,487,0,487,89.28,397.72,Cash,"2 x Onion Rings, 1 x French Fries, 1 x Single Smash Burger (ซิงเกิ้ล)",TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 11:10 PM,6-35690,Sale,฿319.00,0,319,0,319,104.13,214.87,Cash,"1 x Ultimate Double (คู่), 1 x Onion Rings",TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 11:03 PM,6-35689,Sale,฿220.00,0,220,0,220,93.78,126.22,GRAB,1 x Ultimate Double (คู่),GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 10:32 PM,6-35688,Sale,฿99.00,0,99,0,99,27,72,GRAB,1 x Chicken Nuggets (9),GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 10:30 PM,6-35687,Sale,฿299.00,0,299,0,299,116,183,Cash,1 x Double Set (Meal Deal),TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 10:21 PM,6-35686,Sale,฿478.00,0,478,0,478,149.19,328.81,GRAB,"1 x Sprite, 2 x Cajun Fries, 1 x Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน)",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 9:56 PM,6-35685,Sale,฿308.00,0,308,0,308,123.68,184.32,GRAB,"1 x Sweet Potato Fries, 1 x Crispy Chicken Fillet Burger (เบอร์เกอร์ไก่ชิ้น), 1 x Bottle Water",GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
7/17/25 9:52 PM,6-35684,Sale,฿240.00,24,216,0,216,103.83,112.17,SCAN (QR Code),1 x Super Double Bacon and Cheese (ซูเปอร์ดับเบิ้ลเบคอน),TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,Closed
