Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/4/25 1:33 AM,6-35217,Sale,Smash Burgers,10006,Ultimate Double (คู่),,🧀 Double Cheese,1.000,260.00,0.00,260.00,93.78,166.22,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:33 AM,6-35217,Sale,Side Orders,10002,Chicken Nuggets,12,,1.000,129.00,0.00,129.00,36.00,93.00,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:33 AM,6-35217,Sale,Smash Burger Sets (Meal Deals),10036,Super Double Bacon & Cheese Set (Meal Deal),,"🧀 Double Cheese, Fanta Orange",1.000,359.00,0.00,359.00,126.05,232.95,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:08 AM,6-35216,Sale,Smash Burger Sets (Meal Deals),10033,Single Meal Set (Meal Deal),,Coke,1.000,219.00,0.00,219.00,81.70,137.30,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:06 AM,6-35215,Sale,Smash Burgers,10004,Single Smash Burger (ซิงเกิ้ล),,,2.000,320.00,0.00,320.00,118.96,201.04,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:06 AM,6-35215,Sale,Smash Burgers,10004,Single Smash Burger (ซิงเกิ้ล),,🥓 Crispy Bacon,1.000,200.00,0.00,200.00,59.48,140.52,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 1:06 AM,6-35215,Sale,Side Orders,10030,French Fries,,,1.000,89.00,0.00,89.00,9.10,79.90,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 12:23 AM,6-35214,Sale,Smash Burger Sets (Meal Deals),10033,Single Meal Set (Meal Deal),,Coke,1.000,219.00,0.00,219.00,81.70,137.30,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 12:23 AM,6-35214,Sale,Smash Burgers,10004,Single Smash Burger (ซิงเกิ้ล),,,2.000,320.00,0.00,320.00,118.96,201.04,0.00,TAKEAWAY,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
7/4/25 12:21 AM,6-35213,Sale,Smash Burger Sets (Meal Deals),10036,Super Double Bacon & Cheese Set (Meal Deal),,Bottle Water,1.000,319.00,0.00,319.00,126.05,192.95,0.00,GRAB,Smash Brothers - Rawai (Main POS),Smash Bros Burgers (Rawai),Cashier Night Shift,,,,Closed
